Title,Year,Duration,Rating,IMDbScore,VoteCount,Link,Poster
Happy Gilmore 2,2025,1h 54m,12,6.3,46K,https://www.imdb.com/title/tt31868189/?ref_=chtmvm_t_1,"https://m.media-amazon.com/images/M/MV5BYTQyNTRmYjItMDBjYi00YWNhLWEwMmQtNzJhODNiNjEzOWJlXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
The Fantastic Four: First Steps,2025,1h 55m,12A,7.5,67K,https://www.imdb.com/title/tt10676052/?ref_=chtmvm_t_2,"https://m.media-amazon.com/images/M/MV5BOGM5MzA3MDAtYmEwMi00ZDNiLTg4MDgtMTZjOTc0ZGMyNTIwXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Superman,2025,2h 9m,12A,7.6,178K,https://www.imdb.com/title/tt5950044/?ref_=chtmvm_t_3,"https://m.media-amazon.com/images/M/MV5BMjM2Njc1MGItZjJiYy00ZTYzLWIyNWUtODI4MGJmZjBkZWFjXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Happy Gilmore,1996,1h 32m,12,7.0,278K,https://www.imdb.com/title/tt0116483/?ref_=chtmvm_t_4,"https://m.media-amazon.com/images/M/MV5BMzMyZTM1MTMtNDdjOS00NzIzLTkxY2QtZTU4OGYxOTUwNDMxXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Saiyaara,2025,2h 30m,12A,7.2,38K,https://www.imdb.com/title/tt28037987/?ref_=chtmvm_t_5,"https://m.media-amazon.com/images/M/MV5BMTk2ZmFhYjctYWZiYy00N2IxLWEzMWItZGRiMDY4ZDQwZWFlXkEyXkFqcGc@._V1_QL75_UY133_CR5,0,90,133_.jpg"
Sinners,2025,2h 17m,15,7.6,234K,https://www.imdb.com/title/tt31193180/?ref_=chtmvm_t_6,"https://m.media-amazon.com/images/M/MV5BNjIwZWY4ZDEtMmIxZS00NDA4LTg4ZGMtMzUwZTYyNzgxMzk5XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
F1,2025,2h 35m,12A,7.9,131K,https://www.imdb.com/title/tt16311594/?ref_=chtmvm_t_7,"https://m.media-amazon.com/images/M/MV5BZTYwYjJhNzYtY2ZiZS00ZmYxLWJkZjctYjRlNGIxYjI3ZTU0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
The Long Walk,2025,1h 48m,,,,https://www.imdb.com/title/tt10374610/?ref_=chtmvm_t_8,"https://m.media-amazon.com/images/M/MV5BNmE4YmIxNWQtMzJhMy00NDI5LWFmYjEtMGYyMmFhNzdjODVmXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
Jurassic World: Rebirth,2025,2h 13m,12A,6.2,73K,https://www.imdb.com/title/tt31036941/?ref_=chtmvm_t_9,"https://m.media-amazon.com/images/M/MV5BOTk0OTdiZGItYTE1NS00N2IxLWIxMzEtYTVjMGE5NmY5MDQzXkEyXkFqcGc@._V1_QL75_UX90_CR0,5,90,133_.jpg"
I Know What You Did Last Summer,2025,1h 51m,15,5.6,11K,https://www.imdb.com/title/tt4045450/?ref_=chtmvm_t_10,"https://m.media-amazon.com/images/M/MV5BNjE2Y2UyNmItZDQyZS00ZjE1LThmMWMtNTVmYzMxOTgwNmVlXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg"
